a,b,winner,location,date,a_bat,a_bowl,b_bat,b_bowl
Sri Lanka,India,India,Colombo (RPS),3-Feb-09,312.4264668,42.01743345,236.4058028,85.56522805
Sri Lanka,India,India,Colombo (RPS),5-Feb-09,298.7889628,41.42281617,268.2762703,80.87502934
Australia,New Zealand,New Zealand,Melbourne,6-Feb-09,269.0331256,50.87891606,224.152237,69.48496113
Sri Lanka,India,Sri Lanka,Colombo (RPS),8-Feb-09,298.1858461,40.14668053,268.2033779,88.3147138
Australia,New Zealand,Australia,Sydney,8-Feb-09,321.2980051,50.87891606,226.324838,69.48496113
Australia,New Zealand,Australia,Adelaide,10-Feb-09,322.7192316,50.87891606,228.1580704,58.47644811
New Zealand,India,India,Napier,3-Mar-09,291.3751825,56.63669234,242.3050953,70.60885021
New Zealand,India,India,Christchurch,8-Mar-09,318.2751825,56.63669234,226.0255729,69.76206486
New Zealand,India,India,Hamilton,11-Mar-09,298.668887,55.25249851,230.6255729,61.06765393
New Zealand,India,New Zealand,Auckland,14-Mar-09,303.9022203,55.25249851,265.4853974,71.88257499
West Indies,England,England,Providence,20-Mar-09,254.2518167,55.07592614,275.6572616,66.29919731
West Indies,England,West Indies,Providence,22-Mar-09,256.4734834,55.07592614,287.0222616,53.18100906
West Indies,England,West Indies,Bridgetown,27-Mar-09,295.913019,57.15957825,284.6755949,53.18100906
West Indies,England,England,Bridgetown,29-Mar-09,292.8811143,68.88092664,282.9541663,53.18100906
South Africa,Australia,Australia,Durban,3-Apr-09,285.9291785,55.21515302,294.7670496,61.72173481
West Indies,England,England,Gros Islet,3-Apr-09,293.9606381,68.88092664,282.4447616,52.89727772
South Africa,Australia,South Africa,Centurion,5-Apr-09,288.8579881,55.21515302,290.1589987,57.86294615
South Africa,Australia,South Africa,Cape Town,9-Apr-09,287.8054881,55.21515302,289.1207051,57.86294615
South Africa,Australia,South Africa,Port Elizabeth,13-Apr-09,288.5407658,55.21515302,289.4989591,57.86294615
